check-migration-immutability: 685 sealed entries against a journal of 685 — 0 newly appended, 17 comment-only edit(s)

CHANGED after sealing — the statements differ, so a cold build and a warm database disagree:
  0432_drop_quiet_hours_timezone  effective 05ac616cf015 -> 168495ed3498
  0183_abandoned_captain_stacy  effective 17db4fd369ed -> 156a18b2ae5c
  0185_crm_suppression_hashes  effective 3758ce67de8d -> 026f77ce2a88
  0430_project_ticket_counters  effective 74f04a20f2de -> da0d7c391072
  0431_build_events_schema  effective 70684b7238b3 -> 1f82a2a93faf
  0432_build_schema  effective f389388d4a8e -> fabd6705f96d
  0461_kb_chunk_acl_columns  effective 6ec7db00a81b -> a816656d0d74
  0205_organizations_region  effective 954047da366b -> e85fc70ff19b
  0206_party_custom_fields_and_rls  effective db794d3da438 -> 6317d4337901
  0207_backfill_crm_party_permissions  effective b6d7cb956d05 -> b5c03cd056d5
  0208_workflow_runtime  effective e73ea1f7f1fc -> 298ae6a7c716
  0209_party_roles_and_merges  effective e19cae2a23b4 -> 35a20aaadf05
  0210_backfill_party_role_permissions  effective 84da0fc7bef6 -> d497ccf11e08
  0211_subjects  effective 301b7e152162 -> ca9775650802
  0212_backfill_subject_permissions  effective aaf342430235 -> fbee451210e5
  0213_party_roles_merges_rls  effective 3f979f8f2a9e -> 0a135bb6003e
  0214_deal_transitions_money_links  effective 4a18556e817a -> 3ed953552304
  0215_activities  effective 24efeecbe713 -> d013f4d95098
  0216_backfill_activity_permissions  effective 203b5d8926d6 -> ea3da4593419
  0217_inbound_events  effective 8de5da845ef2 -> 52c5e14881d6
  0218_backfill_ingress_permission  effective d9cf4beea573 -> 1720e11bed5d
  0219_autonomous_decisions  effective 15267bc63d4a -> 7e1700134a46
  0220_autonomy_switches  effective 46d57898d441 -> 77f3ff327b7d
  0221_repair_party_permission_backfill  effective 5335d165516e -> 8dbb96f47a31
  0222_backfill_deal_activities_into_timeline  effective 680f924322e4 -> 63c83e8c3367
  0223_autonomy_actor_refs_survive_user_purge  effective 860e3bc7828c -> a30b6eedb502
  0224_autonomy_corrections  effective ed437d635ba0 -> 2dcf25383b9a
  0225_backfill_autonomy_review_permissions  effective 55f8b7e373f7 -> bf997ed6d9f0
  0226_repair_crm_module_role_grants  effective cbab6740642b -> 4c6812e0fd9f
  0227_autonomy_shadow_scoring  effective 2d8d41025e6d -> da49e671b330
  0228_autonomy_holds  effective 7b2216f706be -> 30eec7547712
  0229_crm_imports  effective 89b18036c42a -> 6ac2331c7818
  0230_backfill_import_permission  effective b08ded5fce1d -> 0888a580b998
  0231_crm_mailbox_sync  effective 68596971d62d -> 48fb70afcc4e
